emp_no,first_name,last_name,title,from_date,salary,count
495595,Hideo,Herber,Senior Staff,1996-08-02,57417,14736
88136,Shir,Stille,Engineer,1996-08-02,61112,16111
254167,Xianlong,Tibblin,Senior Staff,1996-08-02,59272,14736
461102,Zengping,Bhattacharjee,Senior Staff,1996-08-02,72104,14736
96417,Bouchung,Akiyama,Senior Staff,1996-08-01,40000,14736
243535,Chinhyun,Chorvat,Senior Engineer,1996-08-01,69339,15600
405940,Kaijung,Crouzet,Senior Engineer,1996-08-01,41050,15600
400495,Jixiang,Pero,Senior Engineer,1996-08-01,40343,15600
86479,Mohit,Restivo,Senior Staff,1996-08-01,57989,14736
39406,Giordano,Giaccio,Technique Leader,1996-08-01,40000,2014
478027,Mitchel,Pettis,Senior Staff,1996-08-01,40000,14736
33907,Jaihie,Kisuki,Staff,1996-07-31,67143,14924
264587,Flemming,Herbst,Senior Staff,1996-07-31,61064,14736
105184,Mabo,Luck,Senior Staff,1996-07-31,67146,14736
486540,Maik,Matzke,Engineer,1996-07-31,41955,16111
470665,Mats,Uhrik,Senior Staff,1996-07-31,69410,14736
213024,Dipankar,Levasseur,Senior Engineer,1996-07-31,71898,15600
64175,Arvin,Wendorf,Senior Engineer,1996-07-31,49349,15600
43080,Leucio,Piancastelli,Engineer,1996-07-31,40000,16111
240639,Mountaz,Bratten,Senior Staff,1996-07-31,102549,14736
279249,Alagu,Litecky,Staff,1996-07-31,73559,14924
497663,Herb,Siksek,Senior Staff,1996-07-31,63580,14736
57157,Susuma,Byoun,Engineer,1996-07-31,40927,16111
230121,Zhonghui,Kornatzky,Engineer,1996-07-31,53003,16111
25351,Shimshon,Baca,Technique Leader,1996-07-31,44761,2014
266752,Shay,Flanders,Senior Staff,1996-07-30,83085,14736
214794,Val,Ibel,Senior Staff,1996-07-30,76281,14736
233835,Vincent,Onuegbe,Senior Engineer,1996-07-30,62392,15600
498451,Sukumar,Hasenauer,Engineer,1996-07-30,40000,16111
64359,Radhika,Farrar,Senior Staff,1996-07-30,40000,14736
69166,Bernd,Chiodo,Senior Staff,1996-07-30,45681,14736
77059,Garnik,Slobodova,Senior Staff,1996-07-29,56707,14736
37171,Nathalie,Lorys,Senior Engineer,1996-07-29,56266,15600
240684,Masaki,Bain,Staff,1996-07-29,43169,14924
405861,Ramzi,Gerteisen,Senior Staff,1996-07-29,48915,14736
253909,Kshitij,Marakhovsky,Senior Engineer,1996-07-29,40000,15600
259120,Khalid,Matzke,Senior Staff,1996-07-29,40000,14736
61627,Uma,Beausoleil,Technique Leader,1996-07-29,42605,2014
245202,Toshimori,Munro,Senior Staff,1996-07-29,40000,14736
270006,Selwyn,Bolsens,Senior Engineer,1996-07-28,64771,15600
52830,Kitty,Peron,Senior Staff,1996-07-28,51210,14736
464974,Kiyokazu,Birdsall,Senior Engineer,1996-07-28,53694,15600
420160,Berhard,Ruther,Senior Engineer,1996-07-28,40000,15600
485037,Ennio,Bolsens,Senior Staff,1996-07-28,40000,14736
11477,Fox,Narahari,Engineer,1996-07-28,40000,16111
80570,Martial,Zykh,Senior Engineer,1996-07-28,40000,15600
31910,Koldo,Vingron,Staff,1996-07-27,40000,14924
407229,Narain,Ballarin,Senior Engineer,1996-07-27,40000,15600
71054,Felicidad,Meszaros,Technique Leader,1996-07-27,53594,2014
415633,Eirik,Baaleh,Staff,1996-07-27,40000,14924
55346,Hausi,Schrooten,Senior Engineer,1996-07-27,43885,15600
30802,Keung,Bernini,Senior Engineer,1996-07-27,40000,15600
58352,Soenke,Hatcliff,Senior Engineer,1996-07-27,40000,15600
50659,Yuriy,Setia,Senior Engineer,1996-07-27,40000,15600
475013,Zdislav,Marciano,Senior Engineer,1996-07-26,40000,15600
95223,Torsten,Quittner,Engineer,1996-07-26,40000,16111
27759,Subhada,Spelt,Senior Engineer,1996-07-26,40000,15600
54371,Sivanarayana,Esposito,Engineer,1996-07-26,54998,16111
23952,Valdiodio,Oehlmann,Senior Staff,1996-07-26,70411,14736
90519,Syozo,Rodite,Senior Staff,1996-07-26,64927,14736
215341,Aimee,Mukaidono,Senior Engineer,1996-07-26,85305,15600
59898,Gao,Iwayama,Senior Engineer,1996-07-26,52483,15600
227517,Aria,Rathonyi,Staff,1996-07-26,75567,14924
270095,JoAnne,Matzov,Senior Engineer,1996-07-26,40000,15600
252840,Moie,Gronowski,Senior Engineer,1996-07-25,48366,15600
24457,Alain,Merkl,Senior Engineer,1996-07-25,40000,15600
242886,Guadalupe,Nitsch,Senior Engineer,1996-07-25,40004,15600
238625,Filipe,Schusler,Senior Engineer,1996-07-25,40000,15600
89101,Petter,Francisci,Assistant Engineer,1996-07-25,51251,2037
205263,Masadi,Iwayama,Engineer,1996-07-25,54755,16111
246757,Maik,Sury,Senior Staff,1996-07-25,72439,14736
242499,Kendra,Denis,Engineer,1996-07-25,40000,16111
277372,Koichi,Terkki,Senior Staff,1996-07-25,57848,14736
272322,Shrikanth,DuCasse,Senior Engineer,1996-07-25,40000,15600
39092,Vojin,Butterworth,Engineer,1996-07-25,53010,16111
480797,Ugo,Siprelle,Senior Staff,1996-07-24,40000,14736
54528,Tomoyuki,Narwekar,Senior Engineer,1996-07-24,40000,15600
270735,Yucai,Beausoleil,Senior Staff,1996-07-23,59308,14736
88314,Tsutomu,Denti,Senior Engineer,1996-07-23,67538,15600
451073,Sedat,Couchot,Senior Staff,1996-07-23,40000,14736
459085,Freyja,Pearson,Senior Staff,1996-07-23,57111,14736
406180,Nagui,Stamatiou,Senior Staff,1996-07-23,51190,14736
458739,Jacqueline,Lienhardt,Senior Engineer,1996-07-23,60864,15600
464194,Sakthirel,Brobst,Senior Engineer,1996-07-23,40000,15600
236393,Jaana,Peternell,Senior Engineer,1996-07-23,40000,15600
18790,Florina,Rahier,Senior Engineer,1996-07-22,41481,15600
249979,Cullen,Pearson,Senior Engineer,1996-07-22,41887,15600
287600,Rajmohan,Vieth,Senior Staff,1996-07-22,61194,14736
477678,Naftaly,Serre,Senior Staff,1996-07-22,82138,14736
441912,Roded,Farrel,Senior Staff,1996-07-22,40000,14736
203481,Chiradeep,Kriebel,Senior Engineer,1996-07-22,59881,15600
248614,True,Rodiger,Staff,1996-07-22,48798,14924
438578,Xiaobin,Ruther,Senior Engineer,1996-07-22,60866,15600
102240,Shmuel,Rodite,Senior Engineer,1996-07-22,63672,15600
66854,Uno,Glinert,Senior Staff,1996-07-22,71741,14736
53106,Shugo,Casperson,Senior Staff,1996-07-21,53756,14736
470758,Tsz,Reistad,Senior Staff,1996-07-21,51546,14736
234993,Wuxu,Schade,Senior Engineer,1996-07-21,40000,15600
483692,Mayumi,Merey,Senior Engineer,1996-07-21,54123,15600
430403,Bowen,Rissland,Senior Engineer,1996-07-21,40000,15600
28993,Domenick,Rijckaert,Senior Engineer,1996-07-21,65380,15600
299882,Macha,Cangellaris,Senior Engineer,1996-07-21,48966,15600
260838,Mohammad,Auyong,Senior Engineer,1996-07-21,49390,15600
444380,Gor,Conta,Senior Engineer,1996-07-21,40000,15600
60926,Kellie,Nourani,Senior Staff,1996-07-20,40629,14736
270189,Kitty,Cronau,Senior Staff,1996-07-20,86721,14736
86621,Hein,Rosis,Engineer,1996-07-20,65093,16111
103252,Domenick,Baca,Technique Leader,1996-07-20,40000,2014
253249,Breannda,Tiemann,Senior Staff,1996-07-20,43455,14736
297563,Mechthild,Hedayat,Staff,1996-07-20,40000,14924
260700,Eishiro,Taubenfeld,Senior Staff,1996-07-20,96900,14736
74683,Takanari,Clouatre,Senior Staff,1996-07-20,61336,14736
62821,Tomokazu,Munke,Senior Engineer,1996-07-19,52251,15600
256113,Snehasis,Vecchio,Senior Engineer,1996-07-19,60294,15600
486046,Shigeichiro,Uehara,Senior Engineer,1996-07-19,53869,15600
102451,Vugranam,Harbusch,Engineer,1996-07-19,40000,16111
488712,Gererd,DeMori,Engineer,1996-07-19,84923,16111
436974,Kellie,Gilg,Senior Staff,1996-07-19,69418,14736
238689,Maha,Mamelak,Engineer,1996-07-19,51046,16111
38014,Nigel,Scallan,Senior Staff,1996-07-19,64101,14736
441723,Houman,Granlund,Senior Engineer,1996-07-19,70065,15600
19818,Ashish,Ventosa,Assistant Engineer,1996-07-19,40000,2037
69230,Florian,Pews,Senior Engineer,1996-07-18,56164,15600
18454,Eric,Anido,Senior Staff,1996-07-18,64815,14736
42488,Angel,Menhardt,Senior Staff,1996-07-18,48657,14736
409517,Atilio,Nilsson,Senior Staff,1996-07-18,78863,14736
90453,Beshir,Pashtan,Engineer,1996-07-18,83673,16111
450645,Niteen,Tsukuda,Senior Staff,1996-07-18,86064,14736
459562,Lillian,Ferriere,Senior Staff,1996-07-18,43753,14736
451062,Badri,Narwekar,Engineer,1996-07-18,40000,16111
262898,Susuma,Shihab,Engineer,1996-07-18,49826,16111
401108,Takahito,Kropp,Senior Staff,1996-07-18,62914,14736
404213,Yunming,Sgarro,Assistant Engineer,1996-07-17,40000,2037
275581,Honglan,Azulay,Staff,1996-07-17,40000,14924
51840,Leucio,Gimbel,Senior Staff,1996-07-17,68598,14736
81999,Mabhin,Vigier,Senior Staff,1996-07-17,40000,14736
281512,Lokesh,Maquelin,Staff,1996-07-17,40000,14924
215102,Horward,Puoti,Senior Staff,1996-07-17,74527,14736
211504,Jaewon,Ouhyoung,Senior Staff,1996-07-17,43669,14736
273333,Jungsoon,Luff,Senior Staff,1996-07-17,40000,14736
494163,Ghassan,Mahnke,Engineer,1996-07-16,54999,16111
201911,Sanjay,Yeung,Senior Staff,1996-07-16,65051,14736
238696,Lorien,Gecseg,Senior Engineer,1996-07-16,69344,15600
490355,Keung,Bennis,Engineer,1996-07-16,40000,16111
270957,Foong,Oskamp,Senior Engineer,1996-07-16,58786,15600
452099,Gian,Improta,Senior Engineer,1996-07-16,40000,15600
226643,Hauke,Marshall,Senior Engineer,1996-07-16,40000,15600
492643,Renny,Homond,Staff,1996-07-16,50109,14924
400157,Lenore,Cochrane,Senior Staff,1996-07-16,58286,14736
410356,Yongqiao,Belinskaya,Staff,1996-07-16,40000,14924
445895,Woody,Seghrouchni,Senior Engineer,1996-07-16,78229,15600
103367,Supot,Isaac,Senior Engineer,1996-07-16,48288,15600
227958,Shichao,Hennebert,Senior Staff,1996-07-15,47166,14736
479598,Uriel,Dayang,Senior Engineer,1996-07-15,57670,15600
105601,Shridhar,Skafidas,Senior Staff,1996-07-15,40000,14736
11624,Adil,Gammage,Senior Engineer,1996-07-15,42001,15600
249381,Guiseppe,Chappelet,Senior Engineer,1996-07-15,40000,15600
482356,Bikash,Decaestecker,Senior Staff,1996-07-15,73118,14736
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,47319,15600
439018,Gay,Scharstein,Senior Staff,1996-07-15,62394,14736
103936,Chikako,Bolsens,Senior Engineer,1996-07-15,45650,15600
214484,Dinah,Doering,Senior Staff,1996-07-14,40000,14736
223259,Hiroyasu,Bennis,Senior Engineer,1996-07-14,48251,15600
39900,Adas,Schach,Technique Leader,1996-07-14,40000,2014
432804,Bluma,McDermid,Senior Staff,1996-07-14,65010,14736
471960,Junichi,Cooley,Senior Engineer,1996-07-14,48564,15600
279917,Jaroslava,Selenyi,Senior Staff,1996-07-14,40000,14736
298653,Tru,Dulay,Senior Engineer,1996-07-14,49646,15600
25730,Shao,Monarch,Senior Staff,1996-07-14,67870,14736
263940,Suebskul,Emmerich,Senior Staff,1996-07-13,63504,14736
405453,Surveyors,Peres,Senior Staff,1996-07-13,76343,14736
26470,Toshimi,Danley,Senior Engineer,1996-07-13,40000,15600
484325,Yuping,Callaway,Senior Staff,1996-07-13,58819,14736
203247,Anoosh,Heiserman,Senior Staff,1996-07-13,61596,14736
492429,Paloma,Pelz,Senior Staff,1996-07-13,64830,14736
239423,Hongzue,Gyimothy,Senior Staff,1996-07-13,66899,14736
107025,Geoff,Sidje,Senior Engineer,1996-07-13,44790,15600
291330,Mona,Ligten,Staff,1996-07-13,56724,14924
414099,Sadok,Alpin,Senior Engineer,1996-07-13,40000,15600
297326,Anestis,Fasbender,Senior Staff,1996-07-13,53507,14736
233165,Mohan,Crooks,Senior Engineer,1996-07-13,40000,15600
103042,Berthier,Masand,Senior Staff,1996-07-13,70417,14736
229571,Masanao,Pappas,Senior Engineer,1996-07-13,49364,15600
44472,Mingdong,Snyers,Senior Engineer,1996-07-12,76936,15600
471385,Nirmal,Ratzlaff,Senior Engineer,1996-07-12,72415,15600
82052,Lidong,Rahier,Senior Staff,1996-07-12,62201,14736
25019,Lech,Kadhim,Senior Engineer,1996-07-12,40000,15600
297402,Hailing,Ghemri,Senior Staff,1996-07-12,40000,14736
272615,Debatosh,Heyers,Staff,1996-07-12,63848,14924
263738,Kazunori,Bressoud,Senior Engineer,1996-07-12,44998,15600
235710,Sachem,Bonifati,Senior Staff,1996-07-12,82460,14736
207455,Hyuckchul,Kisuki,Engineer,1996-07-12,40000,16111
77838,Shuzo,Piazza,Senior Engineer,1996-07-12,52927,15600
97446,Shietung,Christianini,Senior Engineer,1996-07-12,48118,15600
201701,Yishai,Tasistro,Senior Engineer,1996-07-11,40346,15600
461005,Vugranam,Zaccaria,Staff,1996-07-11,54122,14924
264855,Slavian,Peres,Senior Staff,1996-07-11,91271,14736
99442,Sibyl,Uhrig,Senior Staff,1996-07-11,65643,14736
70555,Sreekrishna,Benaini,Senior Engineer,1996-07-11,40000,15600
279351,Shaunak,Sgarro,Senior Staff,1996-07-11,59276,14736
37244,Sampalli,Iacovou,Senior Staff,1996-07-11,72554,14736
237581,Jiang,Szemeredi,Senior Staff,1996-07-11,76279,14736
478296,Kousuke,Ambroszkiewicz,Senior Engineer,1996-07-11,48924,15600
298311,Aleksander,Baar,Senior Engineer,1996-07-11,62448,15600
281935,Kasturi,Munke,Engineer,1996-07-11,49089,16111
266748,Henk,Nitsch,Senior Engineer,1996-07-11,54311,15600
261516,Kitty,Ravishankar,Staff,1996-07-11,40000,14924
496020,Lene,Coombs,Staff,1996-07-11,58868,14924
449040,Parke,Irland,Staff,1996-07-11,40000,14924
76709,Berto,Georg,Senior Engineer,1996-07-11,40000,15600
102239,Jaroslava,Seuren,Engineer,1996-07-11,46805,16111
49003,Odoardo,Laventhal,Senior Staff,1996-07-10,82291,14736
471418,Chinhyun,Ishibashi,Senior Staff,1996-07-10,49728,14736
297219,Rajmohan,Itzfeldt,Senior Staff,1996-07-10,70931,14736
89506,Danil,Rijckaert,Engineer,1996-07-10,56271,16111
72986,Nikolaos,Worfolk,Senior Engineer,1996-07-10,40000,15600
465880,Khoa,Wolniewicz,Senior Engineer,1996-07-10,50362,15600
246149,Guangming,Fargier,Senior Engineer,1996-07-10,50136,15600
430147,Tran,Jayawardene,Senior Staff,1996-07-10,50040,14736
51541,Zito,Boudaillier,Engineer,1996-07-10,40000,16111
463185,Yahiko,Rosay,Senior Staff,1996-07-10,63224,14736
230353,Siamak,Maierhofer,Senior Staff,1996-07-09,67592,14736
219908,Baziley,Jeansoulin,Senior Engineer,1996-07-09,73122,15600
411900,Mari,Wynblatt,Staff,1996-07-09,93358,14924
265550,Fun,Bottner,Staff,1996-07-09,81632,14924
442717,Sangeeta,Kobara,Senior Staff,1996-07-09,40000,14736
453626,Basem,Swiss,Senior Staff,1996-07-09,40000,14736
421654,Claude,Ciolek,Senior Staff,1996-07-09,63040,14736
283323,Masami,Wiegley,Senior Engineer,1996-07-09,40000,15600
404256,Lansing,Frijda,Senior Engineer,1996-07-09,40511,15600
285641,Naraig,Reghbati,Senior Staff,1996-07-08,61473,14736
82014,Quingbo,Ariola,Senior Engineer,1996-07-08,40000,15600
203244,Hitofumi,Sudbeck,Engineer,1996-07-08,40296,16111
229860,Ingmar,Sewelson,Senior Staff,1996-07-08,62138,14736
296713,Randy,Badr,Staff,1996-07-08,71640,14924
28171,Filipe,Setlzner,Senior Engineer,1996-07-08,40000,15600
464531,Xiong,Gurbaxani,Senior Staff,1996-07-08,53850,14736
218991,Falguni,Pusterhofer,Senior Staff,1996-07-07,40000,14736
275083,Pranjal,Kopetz,Assistant Engineer,1996-07-07,40000,2037
100746,Heather,Rehfuss,Senior Staff,1996-07-07,40000,14736
413583,Sachio,Ritcey,Engineer,1996-07-07,40000,16111
463552,Boaz,Brodie,Staff,1996-07-07,40000,14924
224456,Kwok,Stasinski,Senior Staff,1996-07-07,51146,14736
259085,Douadi,Puppe,Senior Staff,1996-07-07,74433,14736
101638,Gaurav,Conta,Engineer,1996-07-07,51982,16111
287233,Heping,Murthy,Engineer,1996-07-07,51734,16111
270371,Moon,Capobianchi,Senior Staff,1996-07-07,80759,14736
106555,Rosalyn,Gaughan,Engineer,1996-07-07,72049,16111
109966,Khatoun,Valette,Senior Staff,1996-07-07,87742,14736
288949,Munehiro,Munoz,Senior Engineer,1996-07-07,46571,15600
219509,Sanjay,Garnick,Senior Engineer,1996-07-07,46512,15600
21192,Sajjad,Krohm,Senior Engineer,1996-07-06,40000,15600
291106,Masako,Gilg,Senior Staff,1996-07-06,55964,14736
427176,Khue,Seuren,Senior Engineer,1996-07-06,52040,15600
217554,Rosli,Biran,Senior Staff,1996-07-06,73967,14736
35554,Aran,Bahl,Senior Staff,1996-07-06,40000,14736
422100,Kotesh,Aingworth,Senior Engineer,1996-07-06,42601,15600
50348,Genevieve,Binkley,Senior Engineer,1996-07-06,49758,15600
423102,Shir,Heyers,Staff,1996-07-06,40000,14924
11012,Taegyun,Speckmann,Staff,1996-07-06,72092,14924
238357,Yuriy,Miara,Senior Staff,1996-07-06,43461,14736
77500,Takahira,Iwayama,Senior Staff,1996-07-06,64493,14736
11524,Xiadong,Standera,Senior Engineer,1996-07-05,41081,15600
58346,Ibibia,Lambe,Senior Staff,1996-07-05,63599,14736
82419,Karoline,Rindone,Senior Engineer,1996-07-05,61248,15600
210368,Jianhao,Peres,Engineer,1996-07-05,40000,16111
258739,Girolamo,Toyoshima,Senior Engineer,1996-07-05,48194,15600
90163,Harjit,Ghandeharizadeh,Senior Engineer,1996-07-05,42695,15600
467992,Mang,Solares,Staff,1996-07-05,59919,14924
446088,Nevin,Verspoor,Senior Engineer,1996-07-05,40000,15600
89743,Hugo,Ferriere,Technique Leader,1996-07-05,63251,2014
460105,Joydip,Plesums,Engineer,1996-07-05,40000,16111
81324,Marl,Rossi,Engineer,1996-07-05,42237,16111
200074,Muzhong,Birjandi,Senior Staff,1996-07-05,72319,14736
20159,Isamu,Valiente,Technique Leader,1996-07-04,41110,2014
97366,Mantis,Gimbel,Engineer,1996-07-04,42357,16111
78521,Jianwen,Onuegbe,Senior Engineer,1996-07-04,40000,15600
274197,Geoffrey,Randi,Senior Staff,1996-07-04,91290,14736
261456,Idoia,Perelgut,Senior Engineer,1996-07-04,51745,15600
412667,Kaijung,Mapelli,Senior Engineer,1996-07-04,47937,15600
244366,Carrsten,Carrera,Technique Leader,1996-07-04,69514,2014
268014,Hitomi,Rosca,Senior Engineer,1996-07-04,44919,15600
473741,Miomir,Chepyzhov,Engineer,1996-07-03,51978,16111
453912,Inderjeet,Osgood,Staff,1996-07-03,81842,14924
422619,Aron,Bottner,Senior Staff,1996-07-03,75785,14736
441061,Ramalingam,Klyachko,Senior Staff,1996-07-03,66140,14736
28298,Holgard,Ritcey,Senior Staff,1996-07-03,79373,14736
280622,Wayne,Back,Senior Engineer,1996-07-03,40000,15600
105145,Susanta,Birch,Engineer,1996-07-03,46723,16111
446966,Shaowen,Tyugu,Senior Staff,1996-07-03,59956,14736
278240,Youssef,Nitsch,Senior Staff,1996-07-03,51684,14736
82263,Vishv,Haumacher,Staff,1996-07-03,77210,14924
410873,Tremaine,Skogmar,Staff,1996-07-02,40641,14924
96597,Jaihie,Wolniewicz,Staff,1996-07-02,40000,14924
79669,Premsyl,Meszaros,Assistant Engineer,1996-07-02,44222,2037
21597,Masami,Pezzoli,Senior Engineer,1996-07-02,40000,15600
255130,Mooi,Krupka,Senior Staff,1996-07-02,62498,14736
43045,Howell,Birke,Senior Staff,1996-07-01,55441,14736
483300,Giordano,Matzen,Engineer,1996-07-01,45692,16111
436218,Gladys,Bergere,Engineer,1996-07-01,40000,16111
471985,Mana,Ushiama,Staff,1996-07-01,52535,14924
17146,Aemilian,Barbanera,Staff,1996-07-01,65674,14924
496107,Vitaly,Shobatake,Engineer,1996-07-01,48143,16111
219095,Ymte,Guting,Senior Staff,1996-07-01,41027,14736
226191,Toong,Jakobus,Senior Staff,1996-07-01,64241,14736
89162,Yongqiao,Melter,Senior Staff,1996-06-30,60695,14736
404358,Zita,Greibach,Senior Staff,1996-06-30,40711,14736
464723,Susanta,Dalton,Technique Leader,1996-06-30,42198,2014
464365,Shaowen,Krogh,Senior Staff,1996-06-30,86032,14736
33512,Raimond,Biran,Senior Engineer,1996-06-30,46848,15600
490127,Mario,Tokunaga,Senior Staff,1996-06-30,44044,14736
426254,Jenwei,Kornyak,Senior Engineer,1996-06-30,40000,15600
93522,Alselm,Ventosa,Engineer,1996-06-30,40000,16111
88246,Munenori,Slobodova,Senior Staff,1996-06-30,40000,14736
38720,Kwan,Khalil,Senior Engineer,1996-06-29,59877,15600
92842,Maris,Lorie,Senior Engineer,1996-06-29,40000,15600
430523,Rosalyn,Validov,Staff,1996-06-29,60537,14924
410938,Kensyu,Borstler,Senior Staff,1996-06-29,84859,14736
440407,Jixiang,Arlazarov,Staff,1996-06-29,40475,14924
293744,Kolar,Carrere,Senior Staff,1996-06-29,40000,14736
457943,Heng,Varley,Senior Engineer,1996-06-29,40050,15600
486977,Jaideep,Baik,Senior Engineer,1996-06-29,40000,15600
83559,Mircea,Schmittgen,Engineer,1996-06-29,40000,16111
278396,Xianlong,Marakhovsky,Senior Staff,1996-06-29,69309,14736
207798,Munir,Gyorkos,Senior Staff,1996-06-28,80464,14736
419697,Aiichiro,Braunschweig,Engineer,1996-06-28,40000,16111
400933,Nikolaos,Vesna,Senior Engineer,1996-06-28,46111,15600
461212,KayLiang,Bultermann,Senior Engineer,1996-06-28,58605,15600
442754,Adin,Fabrizio,Staff,1996-06-28,59808,14924
97259,Nobuyoshi,Kolinko,Staff,1996-06-28,44616,14924
401705,Nechama,Furudate,Senior Staff,1996-06-28,48631,14736
22405,Gritta,Parveen,Senior Staff,1996-06-28,56020,14736
14581,Gao,Condotta,Senior Engineer,1996-06-28,59499,15600
472309,Arunas,Chimia,Senior Staff,1996-06-28,67685,14736
496078,Chuanyi,Kabayashi,Senior Engineer,1996-06-27,40000,15600
253679,Mingdong,Portugali,Staff,1996-06-27,62731,14924
208498,Avishai,Rosin,Engineer,1996-06-27,42344,16111
216034,Marit,Pollacia,Senior Engineer,1996-06-27,60678,15600
239463,Arve,Tagansky,Engineer,1996-06-27,57877,16111
458015,Amalendu,Noriega,Senior Engineer,1996-06-27,55796,15600
476410,Akemi,Gunderson,Staff,1996-06-27,42232,14924
249377,Xudong,Sichman,Senior Staff,1996-06-27,71678,14736
49707,Tetsushi,Rindone,Engineer,1996-06-27,66540,16111
429596,Xiahua,Zyda,Engineer,1996-06-27,40000,16111
65641,Vishu,Winter,Senior Engineer,1996-06-26,40000,15600
406496,Yakkov,Backhouse,Staff,1996-06-26,40000,14924
263070,Subhrajyoti,Raney,Engineer,1996-06-26,40000,16111
46960,Adas,Ranze,Senior Engineer,1996-06-26,40000,15600
405378,Kellyn,Straney,Senior Staff,1996-06-26,63678,14736
276114,Moni,Zuberek,Engineer,1996-06-26,65774,16111
29623,Heekeun,Stille,Engineer,1996-06-26,40000,16111
93458,Jagoda,Pero,Senior Staff,1996-06-26,45840,14736
108375,Greger,Ananiadou,Senior Staff,1996-06-26,41508,14736
458032,Kiyokazu,Bultermann,Senior Engineer,1996-06-26,64006,15600
58161,Akhilish,Karner,Senior Engineer,1996-06-26,40000,15600
474232,Masamitsu,Jahnichen,Technique Leader,1996-06-26,40000,2014
78969,Dietrich,Eterovic,Senior Staff,1996-06-25,56430,14736
31394,Martial,Lieberherr,Staff,1996-06-25,60196,14924
275552,Sachin,Passafiume,Staff,1996-06-25,40000,14924
484641,Laurentiu,Pouyioutas,Senior Engineer,1996-06-25,54269,15600
417576,Adhemar,Murtagh,Senior Staff,1996-06-25,84269,14736
404501,Maya,Nitta,Senior Staff,1996-06-25,44870,14736
283920,Tomoyuki,Demian,Staff,1996-06-25,65873,14924
412649,Leen,McFarlin,Senior Engineer,1996-06-24,40000,15600
241518,Janche,Rijckaert,Senior Engineer,1996-06-24,40000,15600
288925,Kiam,Giveon,Senior Staff,1996-06-24,66941,14736
51596,Kazunori,Zyda,Staff,1996-06-24,40000,14924
404583,Khun,Sambasivam,Senior Engineer,1996-06-24,50875,15600
459269,Akhilish,Baek,Technique Leader,1996-06-24,40000,2014
486801,Sandeepan,Laurillard,Staff,1996-06-24,62863,14924
254698,Piyawadee,Suri,Senior Engineer,1996-06-24,42764,15600
478243,Krisda,Osgood,Senior Staff,1996-06-24,57668,14736
400680,Ewing,Gerteisen,Senior Staff,1996-06-23,60308,14736
493330,Hidekazu,Lanphier,Senior Staff,1996-06-23,40000,14736
103960,Fusako,Brobst,Senior Staff,1996-06-23,40000,14736
402650,Bernice,Horswill,Senior Staff,1996-06-23,40000,14736
274220,Apostol,Karcich,Senior Engineer,1996-06-23,43525,15600
205662,Ung,Wixon,Senior Engineer,1996-06-23,62095,15600
275357,Ziya,Orsini,Senior Staff,1996-06-22,46312,14736
290440,Ulf,Rossi,Engineer,1996-06-22,59093,16111
265481,Sven,Kolinko,Technique Leader,1996-06-22,40000,2014
482672,Ymte,Molenaar,Senior Engineer,1996-06-22,40890,15600
410065,Shooichi,Comyn,Engineer,1996-06-22,40000,16111
435995,Jovan,Anger,Senior Engineer,1996-06-22,40000,15600
498930,Hisao,Matzov,Staff,1996-06-22,40000,14924
43198,Constantine,Himler,Senior Engineer,1996-06-22,55977,15600
294352,Hercules,Bain,Senior Staff,1996-06-22,40000,14736
99729,Dmitri,Porenta,Senior Staff,1996-06-22,64728,14736
25070,Morris,Fortenbacher,Senior Engineer,1996-06-22,51459,15600
250745,Genta,Weisert,Engineer,1996-06-22,40000,16111
452462,Demos,Esposito,Senior Engineer,1996-06-21,42265,15600
433239,Marlo,Vadhan,Senior Staff,1996-06-21,53462,14736
484489,Gritta,Wendorf,Engineer,1996-06-21,62981,16111
401098,Badri,Verhaegen,Staff,1996-06-21,40000,14924
83232,Satyanarayana,Chimia,Senior Engineer,1996-06-21,64212,15600
490698,Shan,Furudate,Senior Staff,1996-06-20,85410,14736
48337,Martine,Fontet,Senior Engineer,1996-06-20,44139,15600
248245,Kwangyoen,Ramaiah,Engineer,1996-06-20,52657,16111
45998,Inderjeet,Rodiger,Staff,1996-06-20,41444,14924
75226,Nechama,Couchot,Senior Engineer,1996-06-20,46501,15600
284883,Pohua,Marrevee,Senior Engineer,1996-06-20,40000,15600
284109,Irena,Seuren,Senior Staff,1996-06-20,96893,14736
298922,Kwangyoen,Schieder,Staff,1996-06-20,72152,14924
489638,Filipp,Socorro,Senior Staff,1996-06-20,77806,14736
54105,Hidefumi,Peck,Staff,1996-06-20,83363,14924
12249,Eldridge,Sadowski,Senior Engineer,1996-06-20,70099,15600
237476,Khalil,Vilarrasa,Staff,1996-06-19,52035,14924
210711,King,Orlowski,Staff,1996-06-19,67445,14924
74618,Sanjiv,Zyda,Engineer,1996-06-19,50834,16111
449803,Ottavia,Landherr,Staff,1996-06-19,40000,14924
100854,Serge,Kaiserswerth,Senior Engineer,1996-06-19,40000,15600
54257,Satoru,Molenaar,Senior Engineer,1996-06-19,40000,15600
472402,Susanna,Rande,Senior Engineer,1996-06-18,67674,15600
448519,Atreyi,Granlund,Staff,1996-06-18,45873,14924
39191,Flemming,Servieres,Senior Staff,1996-06-18,40000,14736
479188,Koldo,Blokdijk,Engineer,1996-06-18,68677,16111
